,_title,detail,link,ministry,sector
30,Pradhan Mantri Suraksha Bima Yojana,Accidental Insurance with a premium of Rs. 12 per year.,https://en.wikepedia.org#cite_note-autogenerated1-1,MoF,Insurance
31,Pradhan Mantri Jeevan Jyoti Bima Yojana,Life insurance of Rs. 2 lakh with a premium of Rs. 330 per year.,https://en.wikepedia.org#cite_note-autogenerated1-1,MoF,Insurance
32,Pradhan Mantri Jan Dhan Yojana,"National Mission for Financial Inclusion to ensure access to financial services, namely Banking Savings & Deposit Accounts, Remittance, Credit, Insurance, Pension in an affordable manner",https://en.wikepedia.org/wiki/Pradhan_Mantri_Jan_Dhan_Yojana,MoF,Financial Inclustion
33,Pradhan Mantri Gram Sadak Yojana,Good all-weather road connectivity to unconnected villages,https://en.wikepedia.org/wiki/Pradhan_Mantri_Gram_Sadak_Yojana,MoRD,Rural Development
34,Rajiv Awas Yojana,"It envisages a “Slum Free India"" with inclusive and equitable cities in which every citizen has access to basic civic infrastructure and social amenities and decent shelter",https://en.wikepedia.org#cite_note-14,MhUPA,Urban Housing
35,Rajiv Gandhi Grameen Vidyutikaran Yojana,Programme for creation of Rural Electricity Infrastructure & Household Electrification for providing access to electricity to rural households,https://en.wikepedia.org#cite_note-15,MoP,Rural Electrification
36,Rashtriya Krishi Vikas Yojana,Achieve 4% annual growth in agriculture through development of Agriculture and its allied sectors during the XI Plan period,https://en.wikepedia.org/wiki/Rashtriya_Krishi_Vikas_Yojana,MoA,Agriculture
37,Rashtriya Swasthya Bima Yojana,"Health insurance to poor (BPL), Domestic workers, MGNERGA workers, Rikshawpullers, Building and other construction workers, and many other categories as may be identified by the respective states",https://en.wikepedia.org/wiki/Rashtriya_Swasthya_Bima_Yojana,MoHFW,Insurance
38,RNTCP,Tuberculosis control initiative,https://en.wikepedia.org/wiki/RNTCP,MoHFW,Health
39,Saksham,"Aims at all-round development of Adolescent Boys and make them self-reliant, gender-sensitive and aware citizens, when they grow up. It cover all adolescent boys (both school going and out of school) in the age-group of 11 to 18 years subdivided into two categories, viz. 11-14 & 14–18 years. In 2014–15, an allocation of Rs. 25 crore is made for the scheme.",https://en.wikepedia.org/w/index.php?title=Saksham_(India)&action=edit&redlink=1,MoWCD,Skill Development
40,Sabla or Rajiv Gandhi Scheme for Empowerment of Adolescent Girls,"Empowering adolescent girls (Age) of 11–18 years with focus on out-of-school girls by improvement in their nutritional and health status and upgrading various skills like home skills, life skills and vocational skills. Merged Nutrition Programme for Adolescent Girls (NPAG) and Kishori Shakti Yojana (KSY).",https://en.wikepedia.org/wiki/Sabla_(India),MoWCD,Skill Development
41,Sampoorna Grameen Rozgar Yojana,"Providing additional wage employment and food security, alongside creation of durable community assets in rural areas.",https://en.wikepedia.org/wiki/Sampoorna_Grameen_Rozgar_Yojana,MoRD,Rural Self Employment
42,Swabhiman,To make banking facility available to all citizens and to get 5 crore accounts opened by Mar 2012. Replaced by Pradhan Mantri Jan Dhan Yojana.,https://en.wikepedia.org/w/index.php?title=Swabhiman&action=edit&redlink=1,MoF,Financial Inclusion
43,Swarnajayanti Gram Swarozgar Yojana,"Bring the assisted poor families above the poverty line by organising them into Self Help Groups (SHGs) through the process of social mobilisation, their training and capacity building and provision of income generating assets through a mix of bank credit and government subsidy.",https://en.wikepedia.org/wiki/Swarnajayanti_Gram_Swarozgar_Yojana,MoRD,Rural Employment
44,Swavalamban,"pension scheme to the workers in unorganised sector. Any citizen who is not part of any statutory pension scheme of the Government and contributes between Rs. 1000 and Rs. 12000/- per annum, could join the scheme. The Central Government shall contribute Rs. 1000 per annum to such subscribers.",https://en.wikepedia.org/wiki/Swavalamban,MoF,Pension
45,Udisha,Training Program for ICDS workers,https://en.wikepedia.org/w/index.php?title=Udisha&action=edit&redlink=1,MoWCD,Child Care
46,Voluntary Disclosure of Income Scheme,Opportunity to the income tax/ wealth tax defaulters to disclose their undisclosed income at the prevailing tax rates.,https://en.wikepedia.org/wiki/Voluntary_Disclosure_of_Income_Scheme,,
47,National Rural Livelihood Mission,This scheme will organize rural poor into Self Help Group(SHG) groups and make them capable for self-employment. The idea is to develop better livelihood options for the poor.,https://en.wikepedia.org/wiki/National_Rural_Livelihood_Mission,MoRD,
48,National Urban Livelihood Mission,This scheme will reduce poverty of urban poor households specially street vendors who constitute an important segment of urban poor by enabling them to access gainful self-employment and skilled wage employment opportunities.,https://en.wikepedia.org#cite_note-NULM-17,MoHUPA,
49,HRIDAY – Heritage City Development and Augmentation Yojana,The scheme seeks to preserve and rejuvenate the rich cultural heritage of the country.,https://en.wikepedia.org/w/index.php?title=HRIDAY_%E2%80%93_Heritage_City_Development_and_Augmentation_Yojana&action=edit&redlink=1,MoUD,Urban Development
50,Sukanya Samridhi Yojana (Girl Child Prosperity Scheme),The scheme primarily ensures equitable share to a girl child in resources and savings of a family in which she is generally discriminated as against a male child.,https://en.wikepedia.org/wiki/Sukanya_Samriddhi_Account,MoWCD,
51,Smart Cities Mission,To enable better living and drive economic growth stressing on the need for people centric urban planning and development.,https://en.wikepedia.org/wiki/Smart_Cities_in_India,MoUD,Urban Development
52,AMRUT,To enable better living and drive economic growth stressing on the need for people centric urban planning and development.,https://en.wikepedia.org/wiki/Atal_Mission_for_Rejuvenation_and_Urban_Transformation,MoUD,Urban Development
53,Pradhan Mantri Awas Yojana,To enable better living and drive economic growth stressing on the need for people centric urban planning and development.,https://en.wikepedia.org/w/index.php?title=Pradhan_Mantri_Awas_Yojana&action=edit&redlink=1,MoHUPA,Housing
54,National Child Labour Projects,"The objective of this project is to eliminate child labour in hazardous industries by 2010.
",https://en.wikepedia.org/w/index.php?title=National_Child_Labour_Projects&action=edit&redlink=1,Ministry of Labour and Employment,
55,National Career Service (India),"The objective of this project is to help job-seekers land up at the job they deserve.
",https://en.wikepedia.org#cite_note-21,Ministry of Labour and Employment,Employment
56,Antyodaya Anna Yojna,"Under the scheme 1 crore of the poorest among the (Below Poverty Line)BPL families covered under the targeted public distribution system are identified.
",https://en.wikepedia.org/w/index.php?title=Antyodaya_Anna_Yojna&action=edit&redlink=1,NDA government,
57,Pradhan Mantri Kaushal Vikas Yojana,Seeks to provide the institutional capacity to train a minimum 40 crore skilled people by 2022 ,https://en.wikepedia.org/wiki/Pradhan_Mantri_Kaushal_Vikas_Yojana,MoSD&E,Skill Development
58,National Food Security Mission,"It launched in 2007 for 5 years to increase production and productivity of wheat, rice and pulses on a sustainable basis so as to ensure food security of the country.
",https://en.wikepedia.org/w/index.php?title=National_Food_Security_Mission&action=edit&redlink=1,Government of India,
59,Pradhan Mantri Ujjwala Yojana,Launched to provide free LPG connections to women from below poverty line families.,https://en.wikepedia.org/wiki/Pradhan_Mantri_Ujjwala_Yojana,MoP&NG,
