,index,title,gov_link,details
12,13,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
13,14,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
14,15,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
15,16,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
16,17,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
17,18,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
18,19,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
19,20,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
20,21,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
21,22,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
22,23,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
23,24,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
24,25,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
25,26,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
26,27,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
27,28,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
28,29,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
29,30,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
30,31,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
31,32,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
32,33,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
33,34,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
34,35,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
35,36,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
36,37,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
37,38,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
38,39,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
39,40,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
40,41,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
41,42,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
42,43,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
43,44,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
44,45,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
45,46,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
46,47,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
47,48,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
48,49,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
49,50,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
50,51,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
51,52,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
52,53,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
53,54,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
54,55,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
55,56,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
56,57,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
57,58,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
58,59,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
59,60,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
60,61,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
61,62,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
62,63,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
63,64,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
64,65,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
65,66,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
66,67,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
67,68,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
68,69,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
69,70,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
70,71,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
71,72,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
72,73,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
73,74,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
74,75,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
